"","Channel 1 Ave. (C)"
"00:00:00","21.455"
"00:00:01","21.447"
"00:00:02","21.448"
"00:00:03","21.451"
"00:00:04","21.451"
"00:00:05","21.450"
"00:00:06","21.446"
"00:00:07","21.444"
"00:00:08","21.452"
"00:00:09","21.443"
"00:00:10","21.452"
"00:00:11","21.450"
"00:00:12","21.448"
"00:00:13","21.441"
"00:00:14","21.443"
"00:00:15","21.439"
"00:00:16","21.447"
"00:00:17","21.445"
"00:00:18","21.442"
"00:00:19","21.442"
"00:00:20","21.442"
"00:00:21","21.442"
"00:00:22","21.444"
"00:00:23","21.442"
"00:00:24","21.444"
"00:00:25","21.440"
"00:00:26","21.446"
"00:00:27","21.451"
"00:00:28","21.452"
"00:00:29","21.452"
"00:00:30","21.454"
"00:00:31","21.448"
"00:00:32","21.447"
"00:00:33","21.448"
"00:00:34","21.447"
"00:00:35","21.451"
"00:00:36","21.447"
"00:00:37","21.441"
"00:00:38","21.445"
"00:00:39","21.453"
"00:00:40","21.449"
"00:00:41","21.434"
"00:00:42","21.442"
"00:00:43","21.440"
"00:00:44","21.442"
"00:00:45","21.450"
"00:00:46","21.448"
"00:00:47","21.443"
"00:00:48","21.441"
"00:00:49","21.444"
"00:00:50","21.443"
"00:00:51","21.448"
"00:00:52","21.450"
"00:00:53","21.443"
"00:00:54","21.447"
"00:00:55","21.454"
"00:00:56","21.452"
"00:00:57","21.454"
"00:00:58","21.452"
"00:00:59","21.443"
"00:01:00","21.447"
"00:01:01","21.444"
"00:01:02","21.444"
"00:01:03","21.447"
"00:01:04","21.449"
"00:01:05","21.446"
"00:01:06","21.449"
"00:01:07","21.457"
"00:01:08","21.446"
"00:01:09","21.442"
"00:01:10","21.446"
"00:01:11","21.448"
"00:01:12","21.450"
"00:01:13","21.445"
"00:01:14","21.450"
"00:01:15","21.448"
"00:01:16","21.445"
"00:01:17","21.441"
"00:01:18","21.432"
"00:01:19","21.434"
"00:01:20","21.441"
"00:01:21","21.443"
"00:01:22","21.445"
"00:01:23","21.443"
"00:01:24","21.451"
"00:01:25","21.442"
"00:01:26","21.446"
"00:01:27","21.444"
"00:01:28","21.438"
"00:01:29","21.448"
"00:01:30","21.446"
"00:01:31","21.450"
"00:01:32","21.444"
"00:01:33","21.450"
"00:01:34","21.452"
"00:01:35","21.455"
"00:01:36","21.437"
"00:01:37","21.448"
"00:01:38","21.445"
"00:01:39","21.436"
"00:01:40","21.445"
"00:01:41","21.438"
"00:01:42","21.443"
"00:01:43","21.440"
"00:01:44","21.440"
"00:01:45","21.440"
"00:01:46","21.447"
"00:01:47","21.455"
"00:01:48","21.457"
"00:01:49","21.449"
"00:01:50","21.446"
"00:01:51","21.448"
"00:01:52","21.451"
"00:01:53","21.450"
"00:01:54","21.446"
"00:01:55","21.444"
"00:01:56","21.446"
"00:01:57","21.443"
"00:01:58","21.450"
"00:01:59","21.441"
"00:02:00","21.456"
"00:02:01","21.445"
"00:02:02","21.449"
"00:02:03","21.445"
"00:02:04","21.449"
"00:02:05","21.451"
"00:02:06","21.454"
"00:02:07","21.466"
"00:02:08","21.457"
"00:02:09","21.451"
"00:02:10","21.451"
"00:02:11","21.462"
"00:02:12","21.450"
"00:02:13","21.453"
"00:02:14","21.448"
"00:02:15","21.446"
"00:02:16","21.445"
"00:02:17","21.454"
"00:02:18","21.459"
"00:02:19","21.448"
"00:02:20","21.449"
"00:02:21","21.449"
"00:02:22","21.451"
"00:02:23","21.449"
"00:02:24","21.451"
"00:02:25","21.451"
"00:02:26","21.456"
"00:02:27","21.449"
"00:02:28","21.455"
"00:02:29","21.455"
"00:02:30","21.447"
"00:02:31","21.451"
"00:02:32","21.449"
"00:02:33","21.462"
"00:02:34","21.459"
"00:02:35","21.463"
"00:02:36","21.466"
"00:02:37","21.461"
"00:02:38","21.468"
"00:02:39","21.463"
"00:02:40","21.467"
"00:02:41","21.459"
"00:02:42","21.458"
"00:02:43","21.456"
"00:02:44","21.454"
"00:02:45","21.452"
"00:02:46","21.454"
