run_idx,scan_id,timestamp,session_dir,step,step_tag,soc_plateau_label,voltage_at_scan,current_at_scan,step_time_relative_min,line_T_mean_c,amp_mean_roi,tof_mean_roi,energy_mean_roi
77,scan_2026-05-31_07-14-01,2026-05-31T07:14:01,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r077_2026-05-31_07-14-01,5,rest,20.0,3.278,0.0,6.2,35.91113570884423,1.431891679763794,9.380928993225098,24.931121826171875
78,scan_2026-05-31_07-23-03,2026-05-31T07:23:03,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r078_2026-05-31_07-23-03,5,rest,20.0,3.275,0.0,15.233333333333333,35.956883293611035,1.4296956062316895,9.379451751708984,24.889894485473633
79,scan_2026-05-31_07-32-06,2026-05-31T07:32:06,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r079_2026-05-31_07-32-06,5,rest,20.0,3.273,0.0,24.283333333333335,35.940855414779094,1.427190899848938,9.373734474182129,24.790332794189453
80,scan_2026-05-31_07-41-08,2026-05-31T07:41:08,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r080_2026-05-31_07-41-08,5,rest,20.0,3.272,0.0,33.31666666666667,35.92454725283164,1.4271687269210815,9.376087188720703,24.79671287536621
81,scan_2026-05-31_07-50-10,2026-05-31T07:50:10,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r081_2026-05-31_07-50-10,5,rest,20.0,3.271,0.0,42.35,35.92894414619163,1.4233793020248413,9.374125480651855,24.681581497192383
82,scan_2026-05-31_07-59-13,2026-05-31T07:59:13,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r082_2026-05-31_07-59-13,5,rest,20.0,3.271,0.0,51.4,35.94449906437486,1.418010950088501,9.369647026062012,24.516115188598633
83,scan_2026-05-31_08-08-15,2026-05-31T08:08:15,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r083_2026-05-31_08-08-15,5,rest,20.0,3.27,0.0,60.43333333333333,35.902131416179515,1.4189969301223755,9.36847972869873,24.54851722717285
84,scan_2026-05-31_08-17-18,2026-05-31T08:17:18,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r084_2026-05-31_08-17-18,5,rest,20.0,3.269,0.0,69.48333333333333,35.906016985575356,1.4210628271102905,9.3764009475708,24.625530242919922
85,scan_2026-05-31_08-26-20,2026-05-31T08:26:20,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r085_2026-05-31_08-26-20,5,rest,20.0,3.269,0.0,78.51666666666667,35.903002447552154,1.4189974069595337,9.373763084411621,24.547821044921875
86,scan_2026-05-31_08-35-22,2026-05-31T08:35:22,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r086_2026-05-31_08-35-22,5,rest,20.0,3.268,0.0,87.55,35.9186624067801,1.4111223220825195,9.36732292175293,24.30046844482422
87,scan_2026-05-31_08-44-25,2026-05-31T08:44:25,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r087_2026-05-31_08-44-25,5,rest,20.0,3.268,0.0,96.6,35.87513212804441,1.4170610904693604,9.37165355682373,24.51927375793457
88,scan_2026-05-31_08-53-27,2026-05-31T08:53:27,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r088_2026-05-31_08-53-27,5,rest,20.0,3.267,0.0,105.63333333333334,35.86397678763778,1.4174633026123047,9.366443634033203,24.515117645263672
89,scan_2026-05-31_09-02-29,2026-05-31T09:02:29,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r089_2026-05-31_09-02-29,5,rest,20.0,3.267,0.0,114.66666666666667,35.847827178460584,1.4348835945129395,9.411050796508789,25.246658325195312
90,scan_2026-05-31_09-11-32,2026-05-31T09:11:32,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r090_2026-05-31_09-11-32,6,charge,,3.288,0.086,3.716666666666667,35.88850700855255,1.4241979122161865,9.411127090454102,25.007904052734375
91,scan_2026-05-31_09-20-34,2026-05-31T09:20:34,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r091_2026-05-31_09-20-34,6,charge,,3.298,0.086,12.75,35.89020108293604,1.4129194021224976,9.414815902709961,24.73255729675293
92,scan_2026-05-31_09-29-36,2026-05-31T09:29:36,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r092_2026-05-31_09-29-36,6,charge,,3.307,0.086,21.783333333333335,35.87531650066376,1.3966416120529175,9.384916305541992,24.18340492248535
93,scan_2026-05-31_09-38-39,2026-05-31T09:38:39,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r093_2026-05-31_09-38-39,6,charge,,3.313,0.086,30.833333333333332,35.88755580672512,1.381542444229126,9.3980073928833,23.810977935791016
94,scan_2026-05-31_09-47-41,2026-05-31T09:47:41,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r094_2026-05-31_09-47-41,6,charge,,3.317,0.086,39.86666666666667,35.90235205491384,1.3609453439712524,9.356377601623535,23.074508666992188
95,scan_2026-05-31_09-56-43,2026-05-31T09:56:43,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r095_2026-05-31_09-56-43,6,charge,,3.32,0.086,48.9,35.85951239532895,1.3512523174285889,9.345192909240723,22.769752502441406
96,scan_2026-05-31_10-05-46,2026-05-31T10:05:46,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r096_2026-05-31_10-05-46,6,charge,,3.323,0.086,57.95,35.91042233837975,1.3407552242279053,9.330199241638184,22.442718505859375
97,scan_2026-05-31_10-14-48,2026-05-31T10:14:48,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r097_2026-05-31_10-14-48,6,charge,,3.325,0.086,66.98333333333333,35.865525024908564,1.3367761373519897,9.31369400024414,22.229358673095703
98,scan_2026-05-31_10-23-51,2026-05-31T10:23:51,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r098_2026-05-31_10-23-51,6,charge,,3.326,0.086,76.03333333333333,35.88414869485078,1.331652045249939,9.307819366455078,22.04286003112793
99,scan_2026-05-31_10-32-53,2026-05-31T10:32:53,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r099_2026-05-31_10-32-53,6,charge,,3.327,0.086,85.06666666666666,35.926778956695834,1.3277416229248047,9.307435989379883,21.910823822021484
100,scan_2026-05-31_10-41-55,2026-05-31T10:41:55,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r100_2026-05-31_10-41-55,6,charge,,3.327,0.086,94.1,35.867904729313324,1.332634449005127,9.304126739501953,22.05631446838379
101,scan_2026-05-31_10-50-58,2026-05-31T10:50:58,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r101_2026-05-31_10-50-58,6,charge,,3.327,0.086,103.15,35.86853898013079,1.3322783708572388,9.305939674377441,22.032543182373047
102,scan_2026-05-31_11-00-00,2026-05-31T11:00:00,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r102_2026-05-31_11-00-00,6,charge,,3.328,0.086,112.18333333333334,35.86553631005464,1.3315809965133667,9.30790901184082,22.00457191467285
103,scan_2026-05-31_11-09-02,2026-05-31T11:09:02,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r103_2026-05-31_11-09-02,6,charge,,3.317,0.0,121.21666666666667,35.83125160800086,1.3401426076889038,9.312458992004395,22.252187728881836
104,scan_2026-05-31_11-18-05,2026-05-31T11:18:05,data\raw\cscan\cscan_longrun_cycling_35c_2026-05-30_19-47-06_r104_2026-05-31_11-18-05,7,rest,40.0,3.311,0.0,10.266666666666667,35.80269684614959,1.3498437404632568,9.349905014038086,22.69160270690918
