SOC%,step,run_idx,scan_id,t_rest_min,amp_med_ROI_mV,energy_med_ROI_au,voltage_mV,T_cell_C
20,5,77,scan_2026-05-31_07-14-01,0,1454.21,24.985,3278,35.9111
20,5,78,scan_2026-05-31_07-23-03,9.03333,1453.02,24.9611,3275,35.9569
20,5,79,scan_2026-05-31_07-32-06,18.0833,1448.86,24.723,3273,35.9409
20,5,80,scan_2026-05-31_07-41-08,27.1167,1447.65,24.7991,3272,35.9245
20,5,81,scan_2026-05-31_07-50-10,36.15,1444.79,24.6856,3271,35.9289
20,5,82,scan_2026-05-31_07-59-13,45.2,1437.71,24.4445,3271,35.9445
20,5,83,scan_2026-05-31_08-08-15,54.2333,1436.5,24.4619,3270,35.9021
20,5,84,scan_2026-05-31_08-17-18,63.2833,1438.24,24.562,3269,35.906
20,5,85,scan_2026-05-31_08-26-20,72.3167,1436.3,24.5311,3269,35.903
20,5,86,scan_2026-05-31_08-35-22,81.35,1427.79,24.2349,3268,35.9187
20,5,87,scan_2026-05-31_08-44-25,90.4,1432.41,24.3523,3268,35.8751
20,5,88,scan_2026-05-31_08-53-27,99.4333,1432.94,24.3234,3267,35.864
20,5,89,scan_2026-05-31_09-02-29,108.467,1452.51,25.0502,3267,35.8478
40,7,104,scan_2026-05-31_11-18-05,0,1365.56,22.4974,3311,35.8027
40,7,105,scan_2026-05-31_11-27-07,9.03333,1359.78,22.3991,3309,35.8748
40,7,106,scan_2026-05-31_11-36-09,18.0667,1356.98,22.2515,3308,35.8553
40,7,107,scan_2026-05-31_11-45-12,27.1167,1349.45,22.023,3308,35.8469
40,7,108,scan_2026-05-31_11-54-14,36.15,1335.93,21.6239,3307,35.8961
40,7,109,scan_2026-05-31_12-03-17,45.2,1331.64,21.5141,3307,35.9224
40,7,110,scan_2026-05-31_12-12-19,54.2333,1327.81,21.2933,3306,35.8389
40,7,111,scan_2026-05-31_12-21-21,63.2667,1320.27,21.1444,3306,35.8895
40,7,112,scan_2026-05-31_12-30-24,72.3167,1325.43,21.1862,3306,35.8551
40,7,113,scan_2026-05-31_12-39-26,81.35,1324.27,21.186,3306,35.8677
40,7,114,scan_2026-05-31_12-48-29,90.4,1326.45,21.2476,3305,35.8559
40,7,115,scan_2026-05-31_12-57-31,99.4333,1336.55,21.6295,3305,35.8267
40,7,116,scan_2026-05-31_13-06-34,108.483,1339.04,21.7051,3305,35.8321
60,9,130,scan_2026-05-31_15-13-07,0,1318.8,21.0512,3327,35.8556
60,9,131,scan_2026-05-31_15-22-10,9.05,1327.25,21.2576,3322,35.8153
60,9,132,scan_2026-05-31_15-31-12,18.0833,1332.87,21.4212,3320,35.8358
60,9,133,scan_2026-05-31_15-40-14,27.1167,1338.94,21.6921,3318,35.8208
60,9,134,scan_2026-05-31_15-49-17,36.1667,1330.24,21.4773,3318,35.8948
60,9,135,scan_2026-05-31_15-58-19,45.2,1331.65,21.5055,3317,35.8708
60,9,136,scan_2026-05-31_16-07-21,54.2333,1327.79,21.3907,3317,35.9015
60,9,137,scan_2026-05-31_16-16-24,63.2833,1328.49,21.3176,3316,35.8426
60,9,138,scan_2026-05-31_16-25-26,72.3167,1320.47,21.0828,3316,35.8618
60,9,139,scan_2026-05-31_16-34-29,81.3667,1310.08,20.8133,3316,35.9031
60,9,140,scan_2026-05-31_16-43-31,90.4,1310.51,20.7883,3315,35.8632
60,9,141,scan_2026-05-31_16-52-33,99.4333,1310.1,20.761,3315,35.8592
60,9,142,scan_2026-05-31_17-01-36,108.483,1311.45,20.8172,3315,35.861
80,11,157,scan_2026-05-31_19-17-12,0,1385.5,22.0947,3346,35.8903
80,11,158,scan_2026-05-31_19-26-15,9.05,1386.43,22.0667,3343,35.8697
80,11,159,scan_2026-05-31_19-35-17,18.0833,1386.92,22.0948,3341,35.8607
80,11,160,scan_2026-05-31_19-44-19,27.1167,1386.58,22.0904,3341,35.8602
80,11,161,scan_2026-05-31_19-53-22,36.1667,1387.89,22.1204,3340,35.8597
80,11,162,scan_2026-05-31_20-02-24,45.2,1392.27,22.2477,3340,35.8181
80,11,163,scan_2026-05-31_20-11-27,54.25,1398.66,22.4172,3340,35.8069
80,11,164,scan_2026-05-31_20-20-29,63.2833,1403.4,22.6433,3340,35.8158
80,11,165,scan_2026-05-31_20-29-32,72.3333,1394.15,22.4188,3339,35.9021
80,11,166,scan_2026-05-31_20-38-34,81.3667,1396.29,22.4639,3339,35.8771
80,11,167,scan_2026-05-31_20-47-37,90.4167,1392.53,22.3493,3339,35.8904
80,11,168,scan_2026-05-31_20-56-39,99.45,1390.9,22.292,3339,35.8825
80,11,169,scan_2026-05-31_21-05-41,108.483,1390.51,22.2757,3339,35.8799
