SOC%,t_rest_min,amp_med_mV,energy_med_au,d_amp_mV,d_energy_au,z_amp_sigmaROI,z_energy_sigmaROI
20,0,1454.21,24.985,0,0,0,0
20,9.03333,1453.02,24.9611,-1.18823,-0.0239716,-0.53524,-0.294491
20,18.0833,1448.86,24.723,-5.34766,-0.262001,-2.40885,-3.21869
20,27.1167,1447.65,24.7991,-6.56091,-0.1859,-2.95537,-2.28378
20,36.15,1444.79,24.6856,-9.42041,-0.299416,-4.24343,-3.67832
20,45.2,1437.71,24.4445,-16.4954,-0.540504,-7.43034,-6.6401
20,54.2333,1436.5,24.4619,-17.7028,-0.523182,-7.97422,-6.4273
20,63.2833,1438.24,24.562,-15.9695,-0.423006,-7.19346,-5.19663
20,72.3167,1436.3,24.5311,-17.9119,-0.453938,-8.06841,-5.57663
20,81.35,1427.79,24.2349,-26.4154,-0.750179,-11.8988,-9.21596
20,90.4,1432.41,24.3523,-21.7969,-0.63275,-9.81841,-7.77334
20,99.4333,1432.94,24.3234,-21.2673,-0.661663,-9.57988,-8.12854
20,108.467,1452.51,25.0502,-1.69287,0.0651855,-0.762555,0.800805
40,0,1365.56,22.4974,0,0,0,0
40,9.03333,1359.78,22.3991,-5.77563,-0.0983124,-2.60164,-1.20777
40,18.0667,1356.98,22.2515,-8.58105,-0.245884,-3.86534,-3.02069
40,27.1167,1349.45,22.023,-16.1121,-0.474337,-7.25768,-5.82723
40,36.15,1335.93,21.6239,-29.6331,-0.873526,-13.3482,-10.7313
40,45.2,1331.64,21.5141,-33.9177,-0.983267,-15.2783,-12.0794
40,54.2333,1327.81,21.2933,-37.7505,-1.20405,-17.0047,-14.7917
40,63.2667,1320.27,21.1444,-45.292,-1.353,-20.4018,-16.6217
40,72.3167,1325.43,21.1862,-40.1316,-1.31116,-18.0773,-16.1077
40,81.35,1324.27,21.186,-41.2871,-1.31137,-18.5978,-16.1103
40,90.4,1326.45,21.2476,-39.1144,-1.24975,-17.6191,-15.3532
40,99.4333,1336.55,21.6295,-29.0118,-0.867851,-13.0684,-10.6616
40,108.483,1339.04,21.7051,-26.5234,-0.792273,-11.9475,-9.73308
60,0,1318.8,21.0512,0,0,0,0
60,9.05,1327.25,21.2576,8.45642,0.206398,3.8092,2.5356
60,18.0833,1332.87,21.4212,14.0731,0.369984,6.33924,4.54525
60,27.1167,1338.94,21.6921,20.1377,0.640907,9.07103,7.87355
60,36.1667,1330.24,21.4773,11.4443,0.426102,5.15511,5.23466
60,45.2,1331.65,21.5055,12.855,0.454296,5.79053,5.58103
60,54.2333,1327.79,21.3907,8.99255,0.339497,4.0507,4.17072
60,63.2833,1328.49,21.3176,9.6925,0.266369,4.36599,3.27234
60,72.3167,1320.47,21.0828,1.66992,0.0316601,0.752217,0.388944
60,81.3667,1310.08,20.8133,-8.71484,-0.237848,-3.92561,-2.92197
60,90.4,1310.51,20.7883,-8.28601,-0.262861,-3.73244,-3.22925
60,99.4333,1310.1,20.761,-8.69348,-0.290154,-3.91598,-3.56454
60,108.483,1311.45,20.8172,-7.35205,-0.234022,-3.31173,-2.87496
80,0,1385.5,22.0947,0,0,0,0
80,9.05,1386.43,22.0667,0.931274,-0.0279732,0.419493,-0.343651
80,18.0833,1386.92,22.0948,1.42188,4.19617e-05,0.640484,0.0005155
80,27.1167,1386.58,22.0904,1.08435,-0.00428772,0.488446,-0.0526747
80,36.1667,1387.89,22.1204,2.3877,0.0256767,1.07554,0.315439
80,45.2,1392.27,22.2477,6.76855,0.153019,3.0489,1.87984
80,54.25,1398.66,22.4172,13.1602,0.322441,5.928,3.96119
80,63.2833,1403.4,22.6433,17.8962,0.548595,8.06137,6.7395
80,72.3333,1394.15,22.4188,8.65234,0.324032,3.89745,3.98074
80,81.3667,1396.29,22.4639,10.7892,0.369169,4.85999,4.53525
80,90.4167,1392.53,22.3493,7.03015,0.254631,3.16673,3.12815
80,99.45,1390.9,22.292,5.39893,0.197239,2.43195,2.42308
80,108.483,1390.51,22.2757,5.01147,0.180967,2.25742,2.22319
