SOC%,step,run_idx,scan_id,t_rest_min,ToF_med_ROI_ns,dToF_since_start_ns,z_sigmaROI,voltage_mV,T_cell_C
20,5,77,scan_2026-05-31_07-14-01,0,9425.9,0,0,3278,35.9111
20,5,78,scan_2026-05-31_07-23-03,9.03333,9423.73,-2.1748,-0.462724,3275,35.9569
20,5,79,scan_2026-05-31_07-32-06,18.0833,9418.95,-6.94824,-1.47835,3273,35.9409
20,5,80,scan_2026-05-31_07-41-08,27.1167,9424.71,-1.18945,-0.253075,3272,35.9245
20,5,81,scan_2026-05-31_07-50-10,36.15,9423.42,-2.48438,-0.52859,3271,35.9289
20,5,82,scan_2026-05-31_07-59-13,45.2,9416.48,-9.4248,-2.00528,3271,35.9445
20,5,83,scan_2026-05-31_08-08-15,54.2333,9425.29,-0.614258,-0.130693,3270,35.9021
20,5,84,scan_2026-05-31_08-17-18,63.2833,9434.49,8.58594,1.8268,3269,35.906
20,5,85,scan_2026-05-31_08-26-20,72.3167,9433.04,7.13672,1.51845,3269,35.903
20,5,86,scan_2026-05-31_08-35-22,81.35,9426.98,1.0791,0.229596,3268,35.9187
20,5,87,scan_2026-05-31_08-44-25,90.4,9427.42,1.51855,0.323097,3268,35.8751
20,5,88,scan_2026-05-31_08-53-27,99.4333,9419.35,-6.5498,-1.39358,3267,35.864
20,5,89,scan_2026-05-31_09-02-29,108.467,9461.28,35.3828,7.52826,3267,35.8478
40,7,104,scan_2026-05-31_11-18-05,0,9404.15,0,0,3311,35.8027
40,7,105,scan_2026-05-31_11-27-07,9.03333,9420.21,16.0566,3.41631,3309,35.8748
40,7,106,scan_2026-05-31_11-36-09,18.0667,9394.64,-9.5127,-2.02398,3308,35.8553
40,7,107,scan_2026-05-31_11-45-12,27.1167,9383.16,-20.9902,-4.46601,3308,35.8469
40,7,108,scan_2026-05-31_11-54-14,36.15,9382.72,-21.4346,-4.56055,3307,35.8961
40,7,109,scan_2026-05-31_12-03-17,45.2,9384.4,-19.751,-4.20234,3307,35.9224
40,7,110,scan_2026-05-31_12-12-19,54.2333,9336.03,-68.1201,-14.4936,3306,35.8389
40,7,111,scan_2026-05-31_12-21-21,63.2667,9350.94,-53.2188,-11.3231,3306,35.8895
40,7,112,scan_2026-05-31_12-30-24,72.3167,9324.14,-80.0127,-17.024,3306,35.8551
40,7,113,scan_2026-05-31_12-39-26,81.35,9343.14,-61.0137,-12.9816,3306,35.8677
40,7,114,scan_2026-05-31_12-48-29,90.4,9329.5,-74.6494,-15.8829,3305,35.8559
40,7,115,scan_2026-05-31_12-57-31,99.4333,9370.09,-34.0664,-7.24817,3305,35.8267
40,7,116,scan_2026-05-31_13-06-34,108.483,9363.09,-41.0664,-8.73753,3305,35.8321
60,9,130,scan_2026-05-31_15-13-07,0,9308.22,0,0,3327,35.8556
60,9,131,scan_2026-05-31_15-22-10,9.05,9318.88,10.6611,2.26833,3322,35.8153
60,9,132,scan_2026-05-31_15-31-12,18.0833,9336.92,28.7031,6.10705,3320,35.8358
60,9,133,scan_2026-05-31_15-40-14,27.1167,9365.4,57.1777,12.1655,3318,35.8208
60,9,134,scan_2026-05-31_15-49-17,36.1667,9364.81,56.5918,12.0408,3318,35.8948
60,9,135,scan_2026-05-31_15-58-19,45.2,9363.4,55.1738,11.7391,3317,35.8708
60,9,136,scan_2026-05-31_16-07-21,54.2333,9356.51,48.2871,10.2739,3317,35.9015
60,9,137,scan_2026-05-31_16-16-24,63.2833,9327.89,19.6709,4.1853,3316,35.8426
60,9,138,scan_2026-05-31_16-25-26,72.3167,9314.57,6.3457,1.35015,3316,35.8618
60,9,139,scan_2026-05-31_16-34-29,81.3667,9308.44,0.222656,0.0473737,3316,35.9031
60,9,140,scan_2026-05-31_16-43-31,90.4,9291.49,-16.7354,-3.56071,3315,35.8632
60,9,141,scan_2026-05-31_16-52-33,99.4333,9278.29,-29.9268,-6.3674,3315,35.8592
60,9,142,scan_2026-05-31_17-01-36,108.483,9287.4,-20.8242,-4.43068,3315,35.861
80,11,157,scan_2026-05-31_19-17-12,0,9214.94,0,0,3346,35.8903
80,11,158,scan_2026-05-31_19-26-15,9.05,9206.39,-8.5498,-1.81911,3343,35.8697
80,11,159,scan_2026-05-31_19-35-17,18.0833,9215.33,0.386719,0.0822806,3341,35.8607
80,11,160,scan_2026-05-31_19-44-19,27.1167,9223.39,8.44629,1.79708,3341,35.8602
80,11,161,scan_2026-05-31_19-53-22,36.1667,9220.69,5.75,1.2234,3340,35.8597
80,11,162,scan_2026-05-31_20-02-24,45.2,9226.12,11.1807,2.37886,3340,35.8181
80,11,163,scan_2026-05-31_20-11-27,54.25,9239.82,24.876,5.29276,3340,35.8069
80,11,164,scan_2026-05-31_20-20-29,63.2833,9280.68,65.7373,13.9867,3340,35.8158
80,11,165,scan_2026-05-31_20-29-32,72.3333,9289.82,74.8721,15.9302,3339,35.9021
80,11,166,scan_2026-05-31_20-38-34,81.3667,9286.68,71.7412,15.2641,3339,35.8771
80,11,167,scan_2026-05-31_20-47-37,90.4167,9276.13,61.1895,13.019,3339,35.8904
80,11,168,scan_2026-05-31_20-56-39,99.45,9265.53,50.585,10.7628,3339,35.8825
80,11,169,scan_2026-05-31_21-05-41,108.483,9258.48,43.5381,9.26342,3339,35.8799
