SOC%,feature,tab-distal,interior,tab-proximal,contrast (prox-distal),n_sigma_ROI
20,tof,9520.9921875,9500.736328125,9349.171875,-171.8203125,-36.55525552073591
20,amp,1545.78466796875,1560.953125,1256.508544921875,-289.276123046875,-130.3501314020981
20,eng,27.332569122314453,27.9453067779541,19.7045841217041,-7.627985000610352,-93.71319109909639
40,tof,9433.84765625,9391.419921875,9205.6552734375,-228.1923828125,-48.548572285925296
40,amp,1397.8636474609375,1415.48486328125,1211.2760009765625,-186.587646484375,-84.07788372255445
40,eng,23.11483383178711,23.672657012939453,18.216575622558594,-4.898258209228516,-60.177282411727376
60,tof,9384.859375,9326.7265625,9127.2919921875,-257.5673828125,-54.798186288470056
60,amp,1333.92822265625,1361.01416015625,1228.0770263671875,-105.8511962890625,-47.69739444797786
60,eng,21.2966365814209,21.948604583740234,18.685482025146484,-2.611154556274414,-32.07919600023346
80,tof,9357.947265625,9309.9296875,9092.318359375,-265.62890625,-56.5132981099796
80,amp,1365.90185546875,1419.057373046875,1368.7142333984375,2.8123779296875,1.2672799566928739
80,eng,21.807418823242188,22.73936653137207,21.86553955078125,0.0581207275390625,0.7140390084997367
